ticket,symbol,action,volume,price,time,result,close_price,close_time,profit,mfe,mae,chat_id
122247004,GOLD,SELL,0.01,0.0,2025-12-31 05:55:19,CLOSED,4336.62,2025-12-31 05:55:19,13.88,0.0,0.0,
122241261,GOLD,BUY,0.01,0.0,2025-12-31 03:38:14,CLOSED,4360.04,2025-12-31 03:38:14,-6.09,0.0,0.0,
122241260,GOLD,BUY,0.01,0.0,2025-12-31 03:38:14,CLOSED,4360.04,2025-12-31 03:38:14,-6.09,0.0,0.0,
122240435,GOLD,SELL,0.01,0.0,2025-12-31 03:47:33,CLOSED,4354.59,2025-12-31 03:47:33,12.01,0.0,0.0,
122240434,GOLD,SELL,0.01,0.0,2025-12-31 03:47:33,CLOSED,4354.59,2025-12-31 03:47:33,12.01,0.0,0.0,
122239242,GOLD,SELL,0.01,0.0,2025-12-31 03:48:04,CLOSED,4352.87,2025-12-31 03:48:04,12.07,0.0,0.0,
122239241,GOLD,SELL,0.01,0.0,2025-12-31 03:48:04,CLOSED,4352.87,2025-12-31 03:48:04,12.07,0.0,0.0,
122238150,GOLD,BUY,0.01,0.0,2025-12-31 03:47:33,CLOSED,4354.08,2025-12-31 03:47:33,-9.42,0.0,0.0,
122228345,GOLD,BUY,0.01,0.0,2025-12-31 02:02:53,CLOSED,4371.62,2025-12-31 02:02:53,-0.27,0.0,0.0,
122226473,GOLD,BUY,0.01,0.0,2025-12-31 02:02:49,CLOSED,4371.37,2025-12-31 02:02:49,-1.13,0.0,0.0,
122221792,GOLD,SELL,0.01,0.0,2025-12-31 00:58:33,CLOSED,4378.36,2025-12-31 00:58:33,-9.46,0.0,0.0,
122221791,GOLD,SELL,0.01,0.0,2025-12-31 00:58:33,CLOSED,4378.36,2025-12-31 00:58:33,-9.46,0.0,0.0,
122216779,GOLD,SELL,0.01,0.0,2025-12-31 00:58:33,CLOSED,4378.36,2025-12-31 00:58:33,-15.84,0.0,0.0,
122216775,GOLD,SELL,0.01,0.0,2025-12-31 00:58:33,CLOSED,4378.36,2025-12-31 00:58:33,-15.64,0.0,0.0,
122216764,GOLD,SELL,0.01,0.0,2025-12-31 00:58:33,CLOSED,4378.36,2025-12-31 00:58:33,-15.96,0.0,0.0,
122216756,GOLD,SELL,0.01,0.0,2025-12-31 00:58:33,CLOSED,4378.36,2025-12-31 00:58:33,-15.42,0.0,0.0,
122216747,GOLD,SELL,0.01,0.0,2025-12-31 00:58:33,CLOSED,4378.36,2025-12-31 00:58:33,-15.3,0.0,0.0,
122215959,GOLD,SELL,0.01,0.0,2025-12-31 00:58:33,CLOSED,4378.36,2025-12-31 00:58:33,-13.37,0.0,0.0,
122215958,GOLD,SELL,0.01,0.0,2025-12-31 00:58:33,CLOSED,4378.36,2025-12-31 00:58:33,-13.37,0.0,0.0,
122209460,GOLD,SELL,0.01,0.0,2025-12-31 00:58:33,CLOSED,4378.36,2025-12-31 00:58:33,-12.08,0.0,0.0,
122209459,GOLD,SELL,0.01,0.0,2025-12-31 00:58:33,CLOSED,4378.36,2025-12-31 00:58:33,-12.08,0.0,0.0,
122206887,GOLD,SELL,0.01,0.0,2025-12-31 00:58:33,CLOSED,4378.36,2025-12-31 00:58:33,-6.85,0.0,0.0,
122205949,GOLD,SELL,0.01,0.0,2025-12-30 23:15:53,CLOSED,4371.77,2025-12-30 23:15:53,-2.27,0.0,0.0,
122205948,GOLD,SELL,0.01,0.0,2025-12-30 23:15:53,CLOSED,4371.77,2025-12-30 23:15:53,-2.27,0.0,0.0,
122201984,GOLD,SELL,0.01,0.0,2025-12-30 23:06:30,CLOSED,4372.06,2025-12-30 23:06:30,-6.15,0.0,0.0,
122201981,GOLD,SELL,0.01,0.0,2025-12-30 23:06:30,CLOSED,4372.06,2025-12-30 23:06:30,-6.15,0.0,0.0,
122196341,GOLD,BUY,0.01,0.0,2025-12-30 22:45:52,CLOSED,4365.27,2025-12-30 22:45:52,-5.85,0.0,0.0,
122196340,GOLD,BUY,0.01,0.0,2025-12-30 22:45:52,CLOSED,4365.27,2025-12-30 22:45:52,-5.85,0.0,0.0,
122186186,GOLD,SELL,0.01,0.0,2025-12-30 22:40:47,CLOSED,4368.85,2025-12-30 22:40:47,22.82,0.0,0.0,
122172137,GOLD,SELL,0.01,0.0,2025-12-30 21:16:23,CLOSED,4397.2,2025-12-30 21:16:23,5.3,0.0,0.0,
122169269,GOLD,SELL,0.01,0.0,2025-12-30 21:50:37,CLOSED,4382.1,2025-12-30 21:50:37,9.44,0.0,0.0,
122166353,GOLD,SELL,0.01,0.0,2025-12-30 21:50:37,CLOSED,4382.1,2025-12-30 21:50:37,9.44,0.0,0.0,
122161025,GOLD,SELL,0.01,0.0,2025-12-30 20:17:02,CLOSED,4398.01,2025-12-30 20:17:02,-11.23,0.0,0.0,
122160589,GOLD,SELL,0.01,0.0,2025-12-30 20:16:58,CLOSED,4397.63,2025-12-30 20:16:58,-7.78,0.0,0.0,
122143581,GOLD,BUY,0.01,0.0,2025-12-30 18:30:12,CLOSED,4384.23,2025-12-30 18:30:12,12.07,0.0,0.0,
122143580,GOLD,BUY,0.01,0.0,2025-12-30 18:30:12,CLOSED,4384.23,2025-12-30 18:30:12,12.07,0.0,0.0,
122142457,GOLD,BUY,0.01,0.0,2025-12-30 18:26:49,CLOSED,4380.43,2025-12-30 18:26:49,12.04,0.0,0.0,
122142456,GOLD,BUY,0.01,0.0,2025-12-30 18:26:49,CLOSED,4380.43,2025-12-30 18:26:49,12.04,0.0,0.0,
122141079,GOLD,BUY,0.01,0.0,2025-12-30 17:31:38,CLOSED,4368.01,2025-12-30 17:31:38,-0.66,0.0,0.0,
122141078,GOLD,BUY,0.01,0.0,2025-12-30 17:31:34,CLOSED,4368.2,2025-12-30 17:31:34,-0.47,0.0,0.0,
122140407,GOLD,BUY,0.01,0.0,2025-12-30 17:31:30,CLOSED,4368.35,2025-12-30 17:31:30,-2.56,0.0,0.0,
122138890,GOLD,BUY,0.01,0.0,2025-12-30 17:31:26,CLOSED,4368.08,2025-12-30 17:31:26,-5.16,0.0,0.0,
122138889,GOLD,BUY,0.01,0.0,2025-12-30 17:31:22,CLOSED,4368.22,2025-12-30 17:31:22,-5.02,0.0,0.0,
122134173,GOLD,BUY,0.01,0.0,2025-12-30 17:10:03,CLOSED,4371.18,2025-12-30 17:10:03,12.11,0.0,0.0,
122134172,GOLD,BUY,0.01,0.0,2025-12-30 17:10:03,CLOSED,4371.18,2025-12-30 17:10:03,12.11,0.0,0.0,
122130493,USDCHF,BUY,0.01,0.0,2025-12-30 22:52:02,CLOSED,0.79019,2025-12-30 22:52:02,1.08,0.0,0.0,
122125488,GOLD,BUY,0.01,0.0,2025-12-30 16:21:23,CLOSED,4362.42,2025-12-30 16:21:23,-5.42,0.0,0.0,
122124779,GOLD,BUY,0.01,0.0,2025-12-30 16:21:23,CLOSED,4362.5,2025-12-30 16:21:23,-8.26,0.0,0.0,
122124732,GOLD,BUY,0.01,0.0,2025-12-30 16:21:23,CLOSED,4362.53,2025-12-30 16:21:23,-8.05,0.0,0.0,
122120032,GOLD,BUY,0.01,0.0,2025-12-30 15:49:33,CLOSED,4380.5,2025-12-30 15:49:33,11.97,0.0,0.0,
122120031,GOLD,BUY,0.01,0.0,2025-12-30 15:49:33,CLOSED,4380.5,2025-12-30 15:49:33,11.97,0.0,0.0,
122118144,GOLD,BUY,0.01,0.0,2025-12-30 15:49:34,CLOSED,4380.81,2025-12-30 15:49:34,11.74,0.0,0.0,
122118143,GOLD,BUY,0.01,0.0,2025-12-30 15:49:34,CLOSED,4380.81,2025-12-30 15:49:34,11.74,0.0,0.0,
122116475,GOLD,BUY,0.01,0.0,2025-12-30 15:39:43,CLOSED,4374.29,2025-12-30 15:39:43,9.52,0.0,0.0,
122116474,GOLD,BUY,0.01,0.0,2025-12-30 15:39:43,CLOSED,4374.32,2025-12-30 15:39:43,9.55,0.0,0.0,
122116408,GOLD,BUY,0.01,0.0,2025-12-30 15:39:43,CLOSED,4374.34,2025-12-30 15:39:43,10.4,0.0,0.0,
122114929,GOLD,BUY,0.01,0.0,2025-12-30 15:39:43,CLOSED,4374.34,2025-12-30 15:39:43,11.96,0.0,0.0,
122114928,GOLD,BUY,0.01,0.0,2025-12-30 15:39:43,CLOSED,4374.34,2025-12-30 15:39:43,11.96,0.0,0.0,
122112015,GOLD,BUY,0.01,0.0,2025-12-30 14:32:11,CLOSED,4368.35,2025-12-30 14:32:11,1.29,0.0,0.0,
122112014,GOLD,BUY,0.01,0.0,2025-12-30 14:32:11,CLOSED,4368.35,2025-12-30 14:32:11,1.29,0.0,0.0,
122107007,GOLD,SELL,0.01,0.0,2025-12-30 14:32:11,CLOSED,4368.5,2025-12-30 14:32:11,10.5,0.0,0.0,
122098562,GOLD,BUY,0.01,0.0,2025-12-30 13:33:22,CLOSED,4376.99,2025-12-30 13:33:22,13.74,0.0,0.0,
122081885,GOLD,SELL,0.01,0.0,2025-12-30 09:45:59,CLOSED,4348.33,2025-12-30 09:45:59,-4.52,0.0,0.0,
122041442,GOLD,BUY,0.01,0.0,2025-12-30 04:06:00,CLOSED,4343.94,2025-12-30 04:06:00,20.52,0.0,0.0,
122038528,GOLD,SELL,0.01,0.0,2025-12-30 07:47:12,CLOSED,4341.02,2025-12-30 07:47:12,1.75,0.0,0.0,
122035142,GOLD,SELL,0.01,0.0,2025-12-30 10:16:16,CLOSED,4353.79,2025-12-30 10:16:16,5.7,0.0,0.0,
122032410,GOLD,SELL,0.01,0.0,2025-12-30 10:00:00,CLOSED,4360.66,2025-12-30 10:00:00,-1.94,0.0,0.0,
122029435,GOLD,SELL,0.01,0.0,2025-12-30 10:16:12,CLOSED,4353.55,2025-12-30 10:16:12,5.22,0.0,0.0,
122026862,GOLD,SELL,0.01,0.0,2025-12-30 10:16:07,CLOSED,4353.44,2025-12-30 10:16:07,6.99,0.0,0.0,
121996550,GOLD,BUY,0.01,0.0,2025-12-29 23:00:04,CLOSED,4351.8,2025-12-29 23:00:04,-22.2,0.0,0.0,
121955198,GOLD,SELL,0.01,0.0,2025-12-29 21:32:21,CLOSED,4453.23,2025-12-29 21:32:21,10.27,0.0,0.0,
121952495,GOLD,SELL,0.01,0.0,2025-12-29 21:32:18,CLOSED,4454.07,2025-12-29 21:32:18,12.43,0.0,0.0,
121950106,GOLD,SELL,0.01,0.0,2025-12-29 21:32:14,CLOSED,4453.79,2025-12-29 21:32:14,13.75,0.0,0.0,
121927621,GOLD,BUY,0.01,0.0,2025-12-29 18:48:53,CLOSED,4462.84,2025-12-29 18:48:53,-9.03,0.0,0.0,
121926772,GBPCHF,BUY,0.01,0.0,2025-12-29 20:00:40,CLOSED,1.06585,2025-12-29 20:00:40,2.86,0.0,0.0,
121918175,GOLD,BUY,0.01,0.0,2025-12-29 17:46:11,CLOSED,4472.54,2025-12-29 17:46:11,11.96,0.0,0.0,
121903114,GOLD,BUY,0.01,0.0,2025-12-29 15:46:26,CLOSED,4473.96,2025-12-29 15:46:26,-1.7,0.0,0.0,
121891116,GOLD,BUY,0.01,0.0,2025-12-29 15:00:06,CLOSED,4459.1,2025-12-29 15:00:06,-17.19,0.0,0.0,
121880961,GOLD,SELL,0.01,0.0,2025-12-29 14:28:18,CLOSED,4494.14,2025-12-29 14:28:18,11.9,0.0,0.0,
121880960,GOLD,SELL,0.01,0.0,2025-12-29 14:28:18,CLOSED,4494.14,2025-12-29 14:28:18,11.9,0.0,0.0,
121859264,GOLD,BUY,0.01,0.0,2025-12-29 11:35:04,CLOSED,4519.93,2025-12-29 11:35:04,9.88,0.0,0.0,
121859095,GOLD,BUY,0.01,0.0,2025-12-29 11:35:04,CLOSED,4519.51,2025-12-29 11:35:04,6.27,0.0,0.0,
121853612,GOLD,SELL,0.01,0.0,2025-12-29 10:33:50,CLOSED,4514.42,2025-12-29 10:33:50,-9.57,0.0,0.0,
121850941,GOLD,SELL,0.01,0.0,2025-12-29 10:33:46,CLOSED,4514.61,2025-12-29 10:33:46,-8.43,0.0,0.0,
121849469,GOLD,SELL,0.01,0.0,2025-12-29 10:00:31,CLOSED,4502.11,2025-12-29 10:00:31,3.5,0.0,0.0,
121815953,GOLD,SELL,0.01,0.0,2025-12-29 07:57:15,CLOSED,4529.78,2025-12-29 07:57:15,2.66,0.0,0.0,
121815952,GOLD,SELL,0.01,0.0,2025-12-29 07:57:15,CLOSED,4529.89,2025-12-29 07:57:15,2.55,0.0,0.0,
121814136,GOLD,SELL,0.01,0.0,2025-12-29 07:51:41,CLOSED,4528.62,2025-12-29 07:51:41,8.68,0.0,0.0,
121792702,GOLD,BUY,0.01,0.0,2025-12-29 07:05:00,CLOSED,4535.78,2025-12-29 07:05:00,2.8400000000000003,0.0,0.0,
121779356,GOLD,BUY,0.01,0.0,2025-12-27 03:11:20,CLOSED,4531.47,2025-12-27 03:11:20,4.06,0.0,0.0,
121771556,GOLD,SELL,0.01,0.0,2025-12-27 01:57:29,CLOSED,4516.9,2025-12-27 01:57:29,-3.05,0.0,0.0,
121770248,GOLD,BUY,0.01,0.0,2025-12-27 01:54:02,CLOSED,4516.03,2025-12-27 01:54:02,-4.68,0.0,0.0,
121763822,GOLD,SELL,0.01,0.0,2025-12-27 01:16:40,CLOSED,4524.04,2025-12-27 01:16:40,0.83,0.0,0.0,
121758788,GOLD,BUY,0.01,0.0,2025-12-27 01:13:34,CLOSED,4532.08,2025-12-27 01:13:34,-1.15,0.0,0.0,
121748080,GOLD,SELL,0.01,0.0,2025-12-27 00:13:35,CLOSED,4536.8,2025-12-27 00:13:35,6.13,0.0,0.0,
121719418,GOLD,SELL,0.01,0.0,2025-12-26 22:52:19,CLOSED,4514.49,2025-12-26 22:52:19,10.22,0.0,0.0,
121714992,GOLD,BUY,0.01,0.0,2025-12-26 22:02:18,CLOSED,4525.4,2025-12-26 22:02:18,4.22,0.0,0.0,
121705518,GOLD,SELL,0.01,0.0,2025-12-26 21:14:50,CLOSED,4515.28,2025-12-26 21:14:50,-2.04,0.0,0.0,
121703282,GOLD,SELL,0.01,0.0,2025-12-26 21:37:28,CLOSED,4523.6,2025-12-26 21:37:28,-13.33,0.0,0.0,
121698759,GOLD,SELL,0.01,0.0,2025-12-26 21:32:07,CLOSED,4522.94,2025-12-26 21:32:07,-7.44,0.0,0.0,
121696401,GOLD,BUY,0.01,0.0,2025-12-26 19:51:01,CLOSED,4506.16,2025-12-26 19:51:01,1.51,0.0,0.0,
121687050,GOLD,BUY,0.01,0.0,2025-12-26 18:40:50,CLOSED,4516.18,2025-12-26 18:40:50,-1.83,0.0,0.0,
121684112,GOLD,SELL,0.01,0.0,2025-12-26 18:33:57,CLOSED,4520.87,2025-12-26 18:33:57,-0.37,0.0,0.0,
121676466,GOLD,SELL,0.01,0.0,2025-12-26 16:53:42,CLOSED,4516.5,2025-12-26 16:53:42,0.32,0.0,0.0,
121670393,GOLD,BUY,0.01,0.0,2025-12-26 16:55:27,CLOSED,4514.25,2025-12-26 16:55:27,5.01,0.0,0.0,
121662075,GOLD,BUY,0.01,0.0,2025-12-26 14:51:25,CLOSED,4512.27,2025-12-26 14:51:25,-2.95,0.0,0.0,
121658982,GOLD,SELL,0.01,0.0,2025-12-26 14:10:55,CLOSED,4510.62,2025-12-26 14:10:55,1.69,0.0,0.0,
121657402,GOLD,BUY,0.01,0.0,2025-12-26 14:51:25,CLOSED,4512.27,2025-12-26 14:51:25,0.54,0.0,0.0,
121655372,GOLD,BUY,0.01,0.0,2025-12-26 13:30:35,CLOSED,4512.28,2025-12-26 13:30:35,3.54,0.0,0.0,
121617351,GOLD,SELL,0.01,0.0,2025-12-26 07:55:42,CLOSED,4493.92,2025-12-26 07:55:42,2.86,0.0,0.0,
121603105,GOLD,BUY,0.01,0.0,2025-12-25 02:05:15,CLOSED,4478.79,2025-12-25 02:05:15,-1.51,0.0,0.0,
121598619,GOLD,SELL,0.01,0.0,2025-12-26 07:04:16,CLOSED,4491.94,2025-12-26 07:04:16,-6.6,0.0,0.0,
121598298,GOLD,BUY,0.03,0.0,2025-12-25 01:22:49,CLOSED,4480.22,2025-12-25 01:22:49,-16.47,0.0,0.0,
121585070,GOLD,SELL,0.01,0.0,2025-12-25 00:02:12,CLOSED,4462.17,2025-12-25 00:02:12,-8.2,0.0,0.0,
121565293,GOLD,SELL,0.01,0.0,2025-12-24 22:51:32,CLOSED,4467.86,2025-12-24 22:51:32,4.61,0.0,0.0,
121561564,GOLD,SELL,0.01,0.0,2025-12-24 22:33:21,CLOSED,4486.3,2025-12-24 22:33:21,-5.82,0.0,0.0,
121561181,GOLD,SELL,0.01,0.0,2025-12-24 22:38:49,CLOSED,4473.18,2025-12-24 22:38:49,11.48,0.0,0.0,
121559490,GOLD,SELL,0.01,0.0,2025-12-24 22:38:49,CLOSED,4473.25,2025-12-24 22:38:49,11.99,0.0,0.0,
121557996,GOLD,SELL,0.01,0.0,2025-12-24 22:37:32,CLOSED,4475.92,2025-12-24 22:37:32,11.97,0.0,0.0,
121556521,GOLD,SELL,0.01,0.0,2025-12-24 21:51:00,CLOSED,4486.29,2025-12-24 21:51:00,-1.18,0.0,0.0,
121550902,GOLD,SELL,0.01,0.0,2025-12-24 21:50:57,CLOSED,4486.2,2025-12-24 21:50:57,-1.06,0.0,0.0,
121548577,GOLD,BUY,0.01,0.0,2025-12-24 21:06:54,CLOSED,4487.48,2025-12-24 21:06:54,-5.24,0.0,0.0,
121547759,GOLD,SELL,0.01,0.0,2025-12-24 21:20:21,CLOSED,4478.77,2025-12-24 21:20:21,11.44,0.0,0.0,
121546154,GOLD,SELL,0.01,0.0,2025-12-24 21:20:21,CLOSED,4478.44,2025-12-24 21:20:21,11.93,0.0,0.0,
121544210,GOLD,SELL,0.01,0.0,2025-12-24 21:19:54,CLOSED,4480.96,2025-12-24 21:19:54,11.99,0.0,0.0,
121543216,GOLD,BUY,0.01,0.0,2025-12-24 20:44:10,CLOSED,4490.06,2025-12-24 20:44:10,-5.0,0.0,0.0,
121540486,GOLD,SELL,0.01,0.0,2025-12-24 21:20:00,CLOSED,4479.56,2025-12-24 21:20:00,11.95,0.0,0.0,
121539234,GOLD,SELL,0.01,0.0,2025-12-24 20:05:54,CLOSED,4494.08,2025-12-24 20:05:54,-6.01,0.0,0.0,
121538017,GOLD,SELL,0.01,0.0,2025-12-24 20:01:33,CLOSED,4493.24,2025-12-24 20:01:33,-5.98,0.0,0.0,
121537026,GOLD,SELL,0.01,0.0,2025-12-24 20:05:49,CLOSED,4493.85,2025-12-24 20:05:49,-5.85,0.0,0.0,
121535844,GOLD,SELL,0.01,0.0,2025-12-24 19:01:58,CLOSED,4488.13,2025-12-24 19:01:58,1.16,0.0,0.0,
121534432,GOLD,BUY,0.01,0.0,2025-12-24 19:01:53,CLOSED,4487.67,2025-12-24 19:01:53,1.8199999999999998,0.0,0.0,
121531955,GOLD,BUY,0.01,0.0,2025-12-24 18:34:08,CLOSED,4485.06,2025-12-24 18:34:08,-7.65,0.0,0.0,
121530665,GOLD,BUY,0.01,0.0,2025-12-24 18:34:08,CLOSED,4484.98,2025-12-24 18:34:08,-6.04,0.0,0.0,
121526711,GOLD,BUY,0.01,0.0,2025-12-24 18:00:55,CLOSED,4494.07,2025-12-24 18:00:55,2.57,0.0,0.0,
121526162,GOLD,BUY,0.01,0.0,2025-12-24 17:41:54,CLOSED,4491.77,2025-12-24 17:41:54,2.95,0.0,0.0,
121525522,GOLD,BUY,0.01,0.0,2025-12-24 17:41:54,CLOSED,4491.71,2025-12-24 17:41:54,2.25,0.0,0.0,
121524651,GOLD,BUY,0.01,0.0,2025-12-24 17:22:38,CLOSED,4489.95,2025-12-24 17:22:38,-0.58,0.0,0.0,
121521825,GOLD,SELL,0.02,0.0,2025-12-24 17:17:15,CLOSED,4493.44,2025-12-24 17:17:15,-20.88,0.0,0.0,
121514305,GOLD,SELL,0.01,0.0,2025-12-24 16:39:55,CLOSED,4490.3,2025-12-24 16:39:55,-7.53,0.0,0.0,
121513054,GOLD,SELL,0.02,0.0,2025-12-24 16:00:06,CLOSED,4482.32,2025-12-24 16:00:06,3.12,0.0,0.0,
121511528,GOLD,SELL,0.01,0.0,2025-12-24 16:01:08,CLOSED,4478.74,2025-12-24 16:01:08,7.87,0.0,0.0,
121507922,GOLD,SELL,0.01,0.0,2025-12-24 15:48:32,CLOSED,4486.99,2025-12-24 15:48:32,4.99,0.0,0.0,
121506086,GOLD,SELL,0.01,0.0,2025-12-24 15:04:01,CLOSED,4493.3,2025-12-24 15:04:01,1.5899999999999999,0.0,0.0,
121505844,GOLD,SELL,0.01,0.0,2025-12-24 14:54:49,CLOSED,4495.03,2025-12-24 14:54:49,0.42,0.0,0.0,
121482487,GOLD,SELL,0.01,0.0,2025-12-24 14:32:28,CLOSED,4494.09,2025-12-24 14:32:28,-10.62,0.0,0.0,
121472234,GOLD,BUY,0.01,0.0,2025-12-24 10:58:39,CLOSED,4491.96,2025-12-24 10:58:39,-25.96,0.0,0.0,
121461632,GOLD,BUY,0.01,0.0,2025-12-24 08:59:12,CLOSED,4510.68,2025-12-24 08:59:12,-5.34,0.0,0.0,
121459952,GOLD,BUY,0.01,0.0,2025-12-24 09:47:54,CLOSED,4521.04,2025-12-24 09:47:54,3.79,0.0,0.0,
121458325,GOLD,BUY,0.01,0.0,2025-12-24 08:32:49,CLOSED,4514.5,2025-12-24 08:32:49,-0.3,0.0,0.0,
121445564,GOLD,SELL,0.01,0.0,2025-12-24 07:11:24,CLOSED,4494.66,2025-12-24 07:11:24,-5.05,0.0,0.0,
121439075,GOLD,BUY,0.01,0.0,2025-12-24 05:26:47,CLOSED,4490.41,2025-12-24 05:26:47,-3.45,0.0,0.0,
121434141,GOLD,BUY,0.01,0.0,2025-12-24 05:26:47,CLOSED,4490.41,2025-12-24 05:26:47,-4.1,0.0,0.0,
121430708,GOLD,BUY,0.01,0.0,2025-12-24 04:00:32,CLOSED,4489.73,2025-12-24 04:00:32,-3.1,0.0,0.0,
121428040,GOLD,BUY,0.01,0.0,2025-12-24 04:22:22,CLOSED,4493.34,2025-12-24 04:22:22,1.8199999999999998,0.0,0.0,
121407551,GOLD,SELL,0.01,0.0,2025-12-24 02:12:46,CLOSED,4480.86,2025-12-24 02:12:46,-6.62,0.0,0.0,
121404895,GOLD,BUY,0.03,0.0,2025-12-24 00:54:45,CLOSED,4475.84,2025-12-24 00:54:45,17.88,0.0,0.0,
121404025,GOLD,BUY,0.02,0.0,2025-12-24 00:46:11,CLOSED,4467.73,2025-12-24 00:46:11,2.2800000000000002,0.0,0.0,
121393898,GOLD,SELL,0.01,0.0,2025-12-24 00:03:24,CLOSED,4460.17,2025-12-24 00:03:24,-4.54,0.0,0.0,
121391564,GOLD,SELL,0.02,0.0,2025-12-23 23:47:34,CLOSED,4453.75,2025-12-23 23:47:34,4.22,0.0,0.0,
121389416,GOLD,BUY,0.01,0.0,2025-12-23 23:38:48,CLOSED,4451.59,2025-12-23 23:38:48,7.13,0.0,0.0,
121386404,GOLD,SELL,0.01,0.0,2025-12-23 23:31:27,CLOSED,4446.24,2025-12-23 23:31:27,1.94,0.0,0.0,
121377711,GOLD,SELL,0.01,0.0,2025-12-23 23:00:52,CLOSED,4449.76,2025-12-23 23:00:52,-4.99,0.0,0.0,
121369275,GOLD,SELL,0.01,0.0,2025-12-23 22:41:16,CLOSED,4453.59,2025-12-23 22:41:16,5.92,0.0,0.0,
121361672,GOLD,SELL,0.02,0.0,2025-12-23 22:21:35,CLOSED,4471.92,2025-12-23 22:21:35,-10.1,0.0,0.0,
121360303,GOLD,SELL,0.01,0.0,2025-12-23 22:16:25,CLOSED,4465.7,2025-12-23 22:16:25,4.18,0.0,0.0,
121360001,GOLD,SELL,0.01,0.0,2025-12-23 22:16:25,CLOSED,4465.69,2025-12-23 22:16:25,3.69,0.0,0.0,
121345166,GOLD,SELL,0.01,0.0,2025-12-23 21:51:30,CLOSED,4483.89,2025-12-23 21:51:30,6.05,0.0,0.0,
121324390,EURUSD,SELL,0.01,0.0,2025-12-23 22:01:55,CLOSED,1.1775,2025-12-23 22:01:55,2.23,0.0,0.0,
121324381,EURUSD,SELL,0.01,0.0,2025-12-24 22:55:25,CLOSED,1.1779600000000001,2025-12-24 22:55:25,1.81,0.0,0.0,
121324372,EURUSD,SELL,0.01,0.0,2025-12-29 15:01:04,CLOSED,1.17713,2025-12-29 15:01:04,2.83,0.0,0.0,
121324368,EURUSD,SELL,0.01,0.0,2025-12-29 15:01:04,CLOSED,1.17713,2025-12-29 15:01:04,2.83,0.0,0.0,
121323998,GOLD,BUY,0.01,0.0,2025-12-23 20:20:46,CLOSED,4484.2,2025-12-23 20:20:46,-4.5600000000000005,0.0,0.0,
121320786,GOLD,BUY,0.01,0.0,2025-12-23 19:49:17,CLOSED,4487.59,2025-12-23 19:49:17,2.85,0.0,0.0,
121319396,GOLD,SELL,0.01,0.0,2025-12-23 19:40:25,CLOSED,4487.27,2025-12-23 19:40:25,-3.42,0.0,0.0,
121311802,GOLD,BUY,0.01,0.0,2025-12-23 17:44:33,CLOSED,4481.99,2025-12-23 17:44:33,-1.41,0.0,0.0,
121300351,GOLD,BUY,0.01,0.0,2025-12-23 17:07:11,CLOSED,4484.55,2025-12-23 17:07:11,-5.0,0.0,0.0,
121294960,GOLD,BUY,0.01,0.0,2025-12-23 16:28:17,CLOSED,4487.98,2025-12-23 16:28:17,0.0,0.0,0.0,
121293664,GOLD,BUY,0.01,0.0,2025-12-23 16:16:48,CLOSED,4487.42,2025-12-23 16:16:48,-1.35,0.0,0.0,
121290421,GOLD,SELL,0.01,0.0,2025-12-23 15:50:49,CLOSED,4489.36,2025-12-23 15:50:49,-1.55,0.0,0.0,
121267196,GOLD,SELL,0.01,0.0,2025-12-23 13:09:45,CLOSED,4483.72,2025-12-23 13:09:45,-0.7,0.0,0.0,
121267138,GOLD,SELL,0.01,0.0,2025-12-23 13:09:52,CLOSED,4483.61,2025-12-23 13:09:52,-0.95,0.0,0.0,
121267108,GOLD,SELL,0.01,0.0,2025-12-23 13:09:49,CLOSED,4483.54,2025-12-23 13:09:49,-1.24,0.0,0.0,
121267086,GOLD,SELL,0.01,0.0,2025-12-23 13:04:10,CLOSED,4482.37,2025-12-23 13:04:10,-0.3,0.0,0.0,
121266920,GOLD,SELL,0.01,0.0,2025-12-23 13:03:59,CLOSED,4482.36,2025-12-23 13:03:59,0.34,0.0,0.0,
121265852,GOLD,SELL,0.01,0.0,2025-12-23 13:03:21,CLOSED,4482.85,2025-12-23 13:03:21,-1.32,0.0,0.0,
121265792,GOLD,SELL,0.01,0.0,2025-12-23 13:04:03,CLOSED,4482.28,2025-12-23 13:04:03,-0.41,0.0,0.0,
121265736,GOLD,SELL,0.01,0.0,2025-12-23 13:04:07,CLOSED,4482.35,2025-12-23 13:04:07,-1.46,0.0,0.0,
121265674,GOLD,SELL,0.01,0.0,2025-12-23 13:04:14,CLOSED,4482.59,2025-12-23 13:04:14,-2.18,0.0,0.0,
121208038,GOLD,SELL,0.01,0.0,2025-12-23 04:59:00,CLOSED,4438.89,2025-12-23 04:59:00,-6.47,0.0,0.0,
121147962,EURUSD,SELL,0.01,0.0,2025-12-29 15:01:04,CLOSED,1.17713,2025-12-29 15:01:04,-0.77,0.0,0.0,
121147952,EURUSD,SELL,0.01,0.0,2025-12-29 15:01:04,CLOSED,1.17713,2025-12-29 15:01:04,-0.77,0.0,0.0,
121147943,EURUSD,SELL,0.01,0.0,2025-12-29 15:01:04,CLOSED,1.17713,2025-12-29 15:01:04,-0.77,0.0,0.0,
121147934,EURUSD,SELL,0.01,0.0,2025-12-29 15:01:04,CLOSED,1.17713,2025-12-29 15:01:04,-0.78,0.0,0.0,
